,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200
1335,SGRHX,Wells Fargo Growth Fund - Class R6,46.95,0.23,0.11,48.51,32.21,43.059116,43.315807
1336,PRMTX,T. Rowe Price Communications & Technology Fund Investor Class,140.86,0.26,0.36,140.5,104.29,132.3053,125.3225
1337,NBQFX,Nuveen International Growth Fund Class R6,44.16,0.59,0.26,49.07,33.32,41.542942,44.13
1338,FCRVX,Fidelity Advisor Managed Retirement 2020 Fund Class C,50.93,0.22,0.11,51.02,49.11,50.93,50.93
1339,FOSKX,Fidelity Overseas Fund Class K,47.67,1.45,0.680002,52.78,35.62,44.28059,47.507206
1340,FEGOX,First Eagle Gold Fund Class C,21.31,0.28,0.06,22.83,13.14,21.117647,18.265368
1341,SAISX,SA International Small Company Fund Investor Class,16.99,0.59,0.1,21.61,12.49,15.625588,18.080368
1342,SIUSX,Guggenheim Investment Grade Bond Fund Class A,19.74,0.1,0.02,19.91,18.66,19.49353,19.103823
1343,GMDZX,GuideStone Funds Medium-Duration Bond Fund Investor Class,15.59,0.0,0.0,15.76,14.34,15.432058,15.248161
1344,DAMDX,Dunham Monthly Distribution Fund Class A,31.56,-0.03,-0.01,33.41,30.81,31.51147,32.28434
1345,JUEPX,JPMorgan U.S. Equity Fund Class R3,15.78,-0.13,-0.02,17.16,11.43,14.905588,15.450735
1346,GIFIX,Guggenheim Floating Rate Strategies Fund Institutional Class,22.99,0.52,0.120001,25.47,20.48,22.45647,24.025955
1347,GLIFX,Lazard Global Listed Infrastructure Portfolio Institutional Shares,14.43,0.21,0.029999,16.86,11.7,13.655,14.853162
1348,FBALX,Fidelity Balanced Fund,24.21,-0.33,-0.079999,25.82,18.93,22.986765,23.670883
1349,PRASX,T. Rowe Price New Asia Fund,17.52,-0.34,-0.06,20.4,14.66,17.325588,18.231764
1350,NINDX,Columbia Large Cap Index Fund Institutional Class,48.88,-0.18,-0.09,54.35,35.97,46.20147,48.78125
1351,USAAX,USAA Growth Fund,27.48,0.4,0.110001,32.58,20.05,25.736177,26.708971
1352,WSBFX,Walden Balanced Fund,19.5,0.0,0.0,21.31,16.15,18.83853,19.73728
1353,NNGAX,Nuveen Large-Cap Value Fund Class A,19.08,-1.34,-0.26,24.15,13.86,17.859707,20.69875
1354,FPACX,FPA Crescent Fund,29.96,-0.86,-0.26,34.83,24.57,28.364706,31.389559
1355,FACTX,Fidelity Advisor Health Care Fund Class M,54.27,1.25,0.669998,54.54,38.77,51.99353,50.011986
1356,FBAKX,Fidelity Balanced Fund Class K,24.21,-0.33,-0.079999,25.82,18.93,22.987059,23.671618
1357,FSCWX,Nuveen Small Cap Value Fund Class R6,16.83,-3.11,-0.54,23.95,12.29,15.392941,19.693014
1358,NOLCX,Northern Large Cap Core Fund,19.37,-0.77,-0.15,21.82,14.3,18.288235,19.556765
1359,JUSRX,JPMorgan U.S. Equity Fund Class R5,15.94,-0.13,-0.02,17.34,11.55,15.053235,15.604264
