,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200
0,DCINX,Dunham International Stock Fund Class C,13.18,0.46,0.06,15.4,10.13,12.392353,13.636618
1,NSCCX,Nuveen NWQ Small-Cap Value Fund Class C,29.86,-2.74,-0.84,40.75,21.67,27.172941,33.193237
2,APGCX,AB Large Cap Growth Fund Class C,43.79,0.34,0.15,43.72,31.46,40.76147,40.26456
3,PWGAX,PACE International Equity Investments Class A,13.69,1.18,0.16,16.16,10.53,12.842648,14.289265
4,ASERX,American Century Select Fund R Class,80.44,0.24,0.19,84.03,58.01,75.31824,75.70713
5,SCMGX,Sands Capital Global Growth Fund Institutional Shares,29.18,0.72,0.209999,29.04,20.63,26.806765,26.546324
6,PRDSX,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund,37.34,-1.09,-0.41,41.51,25.9,33.964413,36.66662
7,TGVRX,Thornburg International Value Fund Class R3,21.18,0.47,0.1,24.1,16.58,19.822647,21.499338
8,FMFCX,Fidelity Advisor Materials Fund Class C,59.51,0.83,0.490003,67.12,41.23,55.25941,59.51397
9,BARIX,Baron Asset Fund Institutional Class,92.22,0.68,0.62,97.25,64.09,84.91441,86.59103
10,SSGAX,SEI Asset Allocation Trust Aggressive Strategy Fund Class F,13.93,0.07,0.01,15.94,11.16,13.229412,14.436838
11,UOPSX,ProFunds UltraNASDAQ-100 Fund Service Class,74.71,-0.48,-0.36,88.33,42.59,67.51971,69.18919
12,SDLAX,SEI Institutional Investments Trust Dynamic Asset Allocation Fund Class A,19.29,-0.21,-0.040002,22.42,14.26,18.293236,19.447132
13,KMDVX,Keeley Mid Cap Dividend Value Fund Class A,18.94,-1.15,-0.22,24.15,12.8,17.239117,20.556324
14,JUEZX,JPMorgan U.S. Equity Fund Class R2,15.66,-0.19,-0.03,17.04,11.34,14.798235,15.339927
15,FPSVX,Frontier Phocas Small Cap Value Fund Institutional Class,24.96,-2.69,-0.69,33.15,17.9,22.505295,27.802353
16,FSCAX,Nuveen Small Cap Value Fund Class A,16.18,-3.11,-0.52,23.0,11.83,14.806471,18.945736
17,FIOIX,Fidelity Advisor Managed Retirement 2005 Fund Class I,59.11,0.03,0.02,60.19,54.7,58.28794,58.83772
18,APGAX,AB Large Cap Growth Fund Class A,61.7,0.34,0.21,61.49,44.27,57.403824,56.492645
19,TMDIX,AMG TimesSquare Mid Cap Growth Fund Class Z,18.38,0.38,0.07,21.18,12.79,16.865294,17.998604
20,CVTRX,Calamos Growth & Income Fund Class A,33.43,-0.24,-0.080002,35.91,25.66,31.55,32.80309
21,QMORX,AQR Large Cap Momentum Style Fund Class R6,21.05,0.38,0.08,23.8,15.71,19.799118,20.994486
22,GSXIX,Aberdeen U.S. Small Cap Equity Fund Institutional Service Class,33.35,-1.8,-0.61,37.01,23.28,29.635883,32.31544
23,ACTEX,American Century Zero Coupon 2020 Fund Advisor Class,102.63,0.0,0.0,102.67,100.42,102.64147,102.10309
24,SAOCX,Guggenheim Alpha Opportunity Fund Class C,14.73,-1.14,-0.17,15.45,13.17,14.40147,14.59353
25,FZAJX,Fidelity Advisor International Growth Fund Class Z,14.9,1.15,0.17,16.48,11.39,14.069118,14.882868
26,TGGAX,Touchstone International Growth Opportunities Fund Class A,21.05,0.62,0.13,23.49,16.06,19.824705,21.024706
27,DCGTX,Jackson Square SMID-Cap Growth Fund IS Class,26.09,-0.34,-0.09,26.18,16.64,22.874706,23.254559
28,SEMNX,Hartford Schroders Emerging Markets Equity Fund Class I,14.06,-0.85,-0.12,17.19,11.64,13.642941,15.064632
29,CFAIX,Calvert Conservative Allocation Fund Class I,17.3,0.06,0.010001,18.18,14.95,16.790882,17.283823
30,JTSCX,JPMorgan SmartRetirement 2050 Fund Class C,18.44,-0.16,-0.030001,22.11,14.18,17.47206,19.266691
31,NRICX,Nuveen Real Asset Income Fund Class C,20.15,0.5,0.1,25.38,15.83,19.379705,22.38728
32,DHFCX,Diamond Hill Long Short Fund Class C,19.78,-1.05,-0.21,24.39,15.91,18.74853,21.07353
33,ZSCIX,Zacks Small-Cap Core Fund Institutional Class,20.59,-2.28,-0.48,28.13,14.46,18.789412,23.380808
34,CSVIX,Calvert Small-Cap Fund Class I,24.8,-1.16,-0.29,29.09,18.54,22.91853,25.585442
35,NLCDX,Nuveen Large Cap Core Fund Class C,29.3,-0.75,-0.219999,33.17,20.89,27.329412,29.418089
36,FARCX,Nuveen Real Estate Securities Fund Class I,17.24,0.76,0.13,23.26,13.01,16.444118,19.194044
37,LCIAX,SEI Institutional Investments Trust Large Cap Index Fund Class A,162.74,-0.23,-0.37,199.7,119.38,153.16705,166.50537
38,BVEFX,Becker Value Equity Fund Retail Class,15.91,-0.69,-0.11,18.89,12.49,15.133823,16.847721
39,BALGX,BMO Large-Cap Growth Fund Class A,18.6,0.0,0.0,19.72,13.55,17.426176,17.8375
40,JCMAX,JPMorgan Mid Cap Equity Fund Class A,46.0,-0.73,-0.34,52.36,32.29,42.558235,45.81625
41,LISIX,Lazard International Strategic Equity Portfolio Institutional Shares,13.27,1.53,0.199999,15.72,10.06,12.362059,13.8877945
42,FSIDX,Fidelity Advisor Strategic Dividend & Income Fund I Class,14.25,0.07,0.01,16.19,11.08,13.68,14.62
43,BIPIX,ProFunds Biotechnology UltraSector Fund Investor Class,68.34,1.01,0.680004,69.18,44.57,64.630295,60.800663
44,ASMOX,AQR Small Cap Momentum Style Fund Class I,17.36,-2.03,-0.360001,20.35,12.02,15.875294,17.706839
45,ENPIX,ProFunds UltraSector Oil & Gas Fund Investor Class,13.3,-4.25,-0.59,30.76,6.56,12.032941,19.533455
46,SBYEX,BNY Mellon Diversified Emerging Markets Fund Class Y,20.75,0.0,0.0,25.28,16.65,20.00706,22.068604
47,TCMSX,TCM Small Cap Growth Fund,33.88,-1.65,-0.57,38.05,23.1,30.734411,33.224705
48,SAOAX,Guggenheim Alpha Opportunity Fund Class A,16.87,-1.11,-0.190001,17.7,15.06,16.485294,16.705587
49,ACCLX,American Century Mid Cap Value Fund C Class,14.09,-0.7,-0.100001,16.99,10.31,13.12,14.920442
50,CBLAX,Columbia Balanced Fund Class A,43.01,-0.02,-0.009997,45.33,34.89,41.26882,42.23669
51,VSTCX,Vanguard Strategic Small-Cap Equity Fund Investor Shares,26.71,-2.13,-0.579999,34.0,18.36,24.18147,28.719706
52,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,24.33,-0.65,-0.16,29.71,18.81,23.113823,25.7025
53,ARYCX,American Century Real Estate Fund C Class,23.83,0.25,0.06,32.12,18.05,22.833824,26.860073
54,AEMZX,Acadian Emerging Markets Portfolio Class I,16.89,0.0,0.0,21.31,13.97,16.454706,18.478382
55,NESIX,Needham Small Cap Growth Fund Institutional Class,19.17,-2.14,-0.42,19.59,12.75,18.035883,17.315662
56,JGRTX,Janus Henderson Enterprise Fund Class S,127.22,-0.16,-0.2,143.36,88.51,117.232056,127.205444
57,JDVAX,JPMorgan Diversified Fund Class A,15.13,0.07,0.01,17.19,12.34,14.465882,15.475368
58,TRLIX,TIAA-CREF Large-Cap Value Fund Institutional Class,15.57,-0.89,-0.14,18.71,11.5,14.666177,16.479927
59,AADBX,American Beacon Balanced Fund Institutional Class,14.07,-0.92,-0.13,16.91,11.47,13.3970585,14.799265
60,MTILX,"Morgan Stanley Institutional Fund, Inc. Global Infrastructure Portfolio Class L",13.73,1.63,0.220001,16.16,10.54,13.139706,14.284926
61,VLAAX,Value Line Asset Allocation Fund Investor Class,39.2,0.46,0.18,40.9,31.13,37.305588,37.903015
62,GIBAX,Guggenheim Total Return Bond Fund Class A,28.58,0.11,0.03,28.81,27.02,28.196764,27.648972
63,SGTRX,Columbia Seligman Global Technology Fund Class R,41.62,-1.93,-0.82,45.87,28.99,39.021175,40.773163
64,SHSKX,BlackRock Health Sciences Opportunities Portfolio Class K,70.73,1.23,0.86,70.94,50.84,67.99765,66.41059
65,FGRSX,Federated International Leaders Fund Class R6 Shares,31.51,1.32,0.41,36.45,23.68,29.067648,32.18662
66,ABMAX,American Beacon Mid-Cap Value Fund Class A,11.81,-2.15,-0.260001,16.15,7.94,10.595,13.290809
67,FTUAX,Fidelity Advisor Telecommunications Fund Class A,62.68,-0.32,-0.2,66.53,50.1,59.65853,59.983162
68,BTTRX,American Century Zero Coupon 2025 Fund Investor Class,115.36,-0.02,-0.02,115.64,103.6,114.49177,110.337944
69,FFTMX,Fidelity Advisor Asset Manager 50% Fund Class M,18.08,0.06,0.01,19.12,15.01,17.357647,17.954338
70,TRMIX,T. Rowe Price Mid-Cap Value Fund I Class,24.13,-0.98,-0.239999,28.74,17.19,22.391766,25.001692
71,FHKAX,Fidelity Advisor China Region Fund Class A,38.5,-0.9,-0.35,41.44,31.39,38.036175,37.80213
72,BCSIX,Brown Capital Management Small Company Fund Investor Shares,108.92,0.11,0.120005,111.06,72.43,96.63412,97.608086
73,DSEEX,DoubleLine Shiller Enhanced CAPE Class I,14.12,-0.84,-0.12,17.06,10.11,12.957647,14.699926
74,FURCX,Fidelity Advisor Simplicity RMD 2015 Fund Class C,58.73,0.17,0.1,58.84,56.88,58.73,58.73
75,SVFAX,Smead Value Fund Class A,41.1,-2.03,-0.849997,51.67,30.52,38.375294,44.26412
76,FDCGX,Fidelity Advisor Consumer Staples Fund Class C,76.9,0.25,0.19,86.4,62.44,74.505295,79.678085
77,VRGEX,Virtus Duff & Phelps Global Real Estate Securities Fund Class R6,27.28,0.85,0.229999,35.46,20.45,25.875,30.368456
78,CIVIX,Causeway International Value Fund Class Institutional,12.43,1.22,0.149999,16.39,9.34,11.292647,13.5533085
79,EIPFX,EIP Growth and Income Fund Investor Class,13.14,0.23,0.029999,16.16,9.06,12.29,13.905735
80,LGRNX,Loomis Sayles Growth Fund Class N,19.18,0.58,0.11,19.69,14.5,18.053823,17.97603
81,GIBIX,Guggenheim Total Return Bond Fund Institutional Class,28.6,0.11,0.03,28.83,27.04,28.22147,27.672867
82,BIGFX,Baron International Growth Fund Retail Shares,22.93,0.35,0.08,25.02,17.0,21.149706,22.497942
83,VASVX,Vanguard Selected Value Fund Investor Shares,20.69,-2.36,-0.5,28.89,14.29,18.766766,23.359558
84,SILVX,SGI U.S. Large Cap Equity Fund Class I,17.29,0.99,0.17,19.59,13.46,16.664118,17.662868
85,FSCVX,Nuveen Small Cap Value Fund Class C,13.62,-3.06,-0.43,19.33,9.97,12.462353,15.94147
86,FIATX,Fidelity Advisor International Capital Appreciation Fund Class M,20.54,1.53,0.309999,22.91,15.83,19.457647,20.62228
87,POPFX,Prospector Opportunity Fund,19.24,-0.77,-0.15,23.04,14.78,18.169117,20.288235
88,BIEAX,Brandes International Equity Fund A,12.91,-0.08,-0.01,17.41,10.31,12.12,14.712353
89,AGOZX,Alger Small Cap Focus Fund Class Z,24.44,0.99,0.24,24.57,16.32,22.220882,21.516766
90,FTHSX,Fuller & Thaler Behavioral Small-Cap Equity Fund Institutional Shares,23.6,-2.03,-0.49,27.74,17.27,21.649118,24.294926
91,OTPSX,ProFunds NASDAQ-100 Fund Service Class,73.11,-0.27,-0.2,76.21,54.68,69.41735,67.88375
92,EWENX,Wells Fargo Intrinsic World Equity Fund - Class Inst,19.1,0.37,0.07,22.82,14.44,18.030294,20.139853
93,AUENX,AQR Large Cap Defensive Style Fund Class N,22.55,0.45,0.100001,24.99,17.28,21.272058,22.39684
94,TSNIX,T. Rowe Price Science and Technology Fund I Class,44.53,-0.56,-0.25,46.72,31.81,40.91206,41.79066
95,AAISX,American Beacon International Equity Fund Advisor Class,14.89,1.36,0.199999,19.25,11.37,13.649117,16.240074
96,SCIOX,Columbia Seligman Communications and Information Fund Advisor Class,74.93,-1.91,-1.46,83.28,52.41,70.26059,73.665886
97,CTORX,Columbia Thermostat Fund Advisor Class,16.95,-0.06,-0.010001,16.96,13.7,16.416471,15.491912
98,ALCFX,Alger Focus Equity Fund Class C,40.66,0.1,0.04,41.42,29.22,37.99059,36.998898
99,JFNCX,Janus Henderson Global Life Sciences Fund Class C,55.27,0.86,0.47,57.01,40.69,52.94912,52.744045
100,DAINX,Dunham International Stock Fund Class A,13.95,0.43,0.060001,16.26,10.71,13.108824,14.416177
101,POAGX,PRIMECAP Odyssey Aggressive Growth Fund,41.9,-1.18,-0.5,47.17,30.5,39.011177,41.94625
102,PAVLX,T. Rowe Price Value Fund Advisor Class,31.81,-0.38,-0.12,38.55,23.64,30.07853,33.673237
103,AVUAX,American Century Mid Cap Value Fund I Class,14.34,-0.62,-0.09,17.27,10.47,13.336177,15.159926
104,TESRX,Franklin Mutual Shares Fund Class R,21.53,-0.92,-0.200001,28.27,16.76,20.510588,24.10794
105,FCHKX,Fidelity Advisor China Region Fund Class C,37.25,-0.9,-0.34,40.21,30.48,36.82647,36.6364
106,CFWAX,Calvert Global Water Fund Class A,19.56,-0.41,-0.08,22.98,14.65,18.192648,20.22669
107,LKBAX,LKCM Balanced Fund,23.58,0.21,0.05,25.48,18.46,22.468529,23.339926
108,CISGX,Touchstone Sands Capital Institutional Growth Fund,25.41,0.0,0.0,25.7,18.01,23.482647,22.758677
109,FMPFX,Nuveen Small Cap Growth Opportunities Fund Class R6,28.86,-1.57,-0.46,29.9,18.9,25.965294,26.49669
110,GETGX,Victory Sycamore Established Value Fund Class R,33.32,-1.19,-0.4,41.05,23.58,30.434412,35.20125
111,PRWAX,T. Rowe Price New America Growth Fund,57.82,-0.02,-0.009998,60.06,41.74,54.186764,54.183384
112,MASTX,BMO Large-Cap Growth Fund Class Y,18.61,0.0,0.0,19.74,13.57,17.442059,17.85522
113,NMMTX,Nuveen Large-Cap Value Fund Class R3,19.29,-1.33,-0.260001,24.39,14.02,18.06,20.93
114,NSDVX,North Star Dividend Fund Class I,16.32,-1.66,-0.2759,20.59,13.2,15.449706,17.905956
115,FELAX,Fidelity Advisor Semiconductors Fund Class A,26.47,-2.65,-0.719999,29.31,17.52,24.90147,25.637648
116,FGADX,Franklin Gold and Precious Metals Fund Advisor Class,22.37,0.86,0.19,23.63,12.7,20.831764,19.08125
117,JPFAX,JPMorgan Equity Focus Fund Class A,25.87,-0.65,-0.17,32.14,18.71,24.219706,26.65581
118,WBVDX,William Blair Small Cap Value Fund Class N,10.55,-2.04,-0.22,17.85,7.71,9.634118,13.920882
119,JARTX,Janus Henderson Forty Fund Class S,37.55,0.48,0.18,39.29,27.64,35.299706,35.557648
120,PAGLX,T. Rowe Price Global Growth Stock Fund Advisor Class,31.1,0.42,0.129999,32.5,22.09,28.587646,29.005074
121,HWSAX,Hotchkis & Wiley Small Cap Value Fund Class A,37.13,-2.9,-1.11,54.64,26.86,33.490295,43.877647
122,SPINX,SEI Institutional Investments Trust S&P 500 Index Fund Class A,16.05,-0.19,-0.03,17.95,11.88,15.171177,16.002941
123,HLMEX,Harding Loevner Institutional Emerging Markets Portfolio Class I,17.85,-0.39,-0.07,23.49,14.91,17.377058,19.997793
124,JENYX,Jensen Quality Growth Fund Class Y,49.33,0.26,0.13,55.02,36.82,47.32353,49.443604
125,MMEYX,Victory Integrity Discovery Fund Class Y,25.83,-4.23,-1.14,38.17,18.69,23.239706,30.841177
126,SDICX,Guggenheim Investment Grade Bond Fund Class C,19.66,0.1,0.02,19.82,18.58,19.411764,19.02375
127,BDFIX,Baron Discovery Fund Institutional Shares,22.84,-1.25,-0.290001,23.99,14.67,20.039118,20.546986
128,TRULX,T. Rowe Price U.S. Large-Cap Core Fund,24.92,0.28,0.07,28.12,18.65,23.688824,25.172058
129,HSFNX,Hennessy Small Cap Financial Fund Investor Class,15.25,-4.09,-0.65,22.36,11.7,13.924412,18.241177
130,RYCIX,Rydex Consumer Products Fund Class Investor,59.03,0.0,0.0,64.84,46.4,57.051178,59.94875
131,HFMSX,The Hartford MidCap Fund Class R4,33.47,-0.71,-0.240003,37.85,23.47,30.94647,33.416912
132,UMPIX,ProFunds UltraMid Cap Fund Investor Class,30.14,-2.9,-0.899999,49.0,14.94,25.042646,36.502426
133,WGROX,Wasatch Core Growth Fund,69.85,-1.74,-1.24,79.47,47.19,61.86735,67.93809
134,RRTBX,T. Rowe Price Retirement 2020 Fund Class R,20.75,0.0,0.0,22.72,16.93,19.88353,20.902353
135,RPTIX,T. Rowe Price Mid-Cap Growth Fund I Class,91.11,0.2,0.18,99.08,63.44,83.60412,89.05427
136,PTIAX,Performance Trust Strategic Bond Fund,22.36,0.09,0.02,23.76,21.16,22.120295,22.686766
137,WSMGX,Wilshire Small Company Growth Portfolio Fund Class Institutional,28.07,-1.89,-0.54,31.62,19.59,25.375883,27.448677
138,VITNX,Vanguard Institutional Total Stock Market Index Fund Institutional Shares,63.76,-0.38,-0.24,72.2,46.94,59.862057,63.879707
139,NSEPX,Columbia Select Large Cap Equity Fund Institutional Class,14.6,-0.21,-0.03,16.18,10.78,13.893235,14.372941
140,UIGRX,USAA Growth Fund Institutional Shares,27.41,0.4,0.11,32.52,20.0,25.67147,26.643602
141,GMCDX,GMO Emerging Country Debt Fund Class III,24.93,-0.16,-0.040001,28.15,22.31,23.826471,25.979118
142,JDNAX,Janus Henderson Growth And Income Fund Class A,53.83,0.04,0.02,62.67,40.43,51.17235,55.964043
143,MSGTX,"Morgan Stanley Institutional Fund, Inc. Global Infrastructure Portfolio Class C",13.53,1.58,0.21,15.93,10.39,12.948529,14.080809
144,NRIAX,Nuveen Real Asset Income Fund Class A,20.14,0.55,0.110001,25.37,15.83,19.364117,22.375883
145,HILFX,Hennessy Large Cap Financial Fund Institutional Class,21.85,-1.09,-0.24,26.28,15.56,19.963236,22.329044
146,BUFOX,Buffalo Emerging Opportunities Fund,16.3,-1.75,-0.29,17.71,10.78,14.48,15.5497055
147,LEVOX,Lazard US Equity Concentrated Portfolio Open Shares,15.67,0.58,0.09,17.89,11.46,14.767647,15.837279
148,SHSAX,BlackRock Health Sciences Opportunities Portfolio Investor A Shares,66.94,1.22,0.809995,67.21,48.15,64.37559,62.917355
149,BMGCX,BlackRock Mid-Cap Growth Equity Portfolio Investor C Shares,21.49,1.13,0.24,22.48,14.47,19.611765,19.688602
150,NLCIX,Nuveen Large Cap Core Fund Class I,29.84,-0.7,-0.21,33.65,21.23,27.808235,29.942427
151,GTLIX,Glenmede Quantitative U.S. Large Cap Core Equity Portfolio Institutional Shares,23.83,-0.91,-0.22,28.5,17.42,22.314117,24.93044
152,HFCIX,Hennessy Focus Fund Institutional Class,71.73,-0.77,-0.56,92.01,46.66,64.77971,75.68875
153,FDLSX,Fidelity Select Leisure Portfolio,12.91,-1.53,-0.2,16.89,8.45,11.775588,13.860294
154,KWICX,Kinetics Alternative Income Fund Advisor Class C,94.53,0.04,0.04,94.49,90.27,94.212944,93.5853
155,IBALX,Transamerica Multi-Managed Balanced Fund Class A,28.57,-0.17,-0.049999,30.21,23.1,27.489412,28.16375
156,CLIFX,Clifford Capital Partners Fund Institutional Class,12.99,-1.96,-0.26,15.73,9.26,11.899706,13.510809
157,HFMVX,The Hartford MidCap Fund Class R6,35.18,-0.71,-0.25,39.74,24.65,32.51912,35.073162
158,MMDEX,Praxis Growth Index Fund Class I,28.41,-0.04,-0.01,29.82,20.71,26.747942,26.988897
159,SICWX,Touchstone Large Cap Focused Fund Class Y,41.17,-0.39,-0.159998,46.6,30.79,38.904118,41.07088
160,USWGX,USAA World Growth Fund Adviser Shares,23.36,0.17,0.04,35.61,17.66,22.091177,25.362352
161,CGTUX,Columbia Global Technology Growth Fund Institutional 3 Class,44.71,-0.25,-0.11,47.1,32.74,41.92588,41.49816
162,MIGIX,"Morgan Stanley Institutional Fund, Inc. Global Advantage Portfolio Class I",21.64,0.6,0.13,21.83,14.03,19.079706,18.091543
163,FSENX,Fidelity Select Energy Portfolio,22.34,-2.49,-0.57,37.29,13.63,20.577353,27.352648
164,JBFRX,John Hancock Bond Fund Class R4,16.36,0.06,0.01,16.77,14.95,16.180588,16.16897
165,NIMEX,Nuveen Equity Market Neutral Fund Class I,21.82,-0.91,-0.2,24.08,21.23,22.064117,22.529926
166,VMRGX,Vanguard Morgan Growth Fund,27.82,0.51,0.14,27.82,27.82,27.82,27.82
167,TIVRX,Thornburg International Value Fund Class R5,21.9,0.46,0.1,24.93,17.14,20.495882,22.261839
168,PRVIX,T. Rowe Price Small-Cap Value Fund I Class,38.9,-1.87,-0.740003,49.54,28.61,35.579117,42.066544
169,SBFCX,Victory INCORE Investment Grade Convertible Fund Class A,16.25,0.12,0.02,17.86,13.58,15.706764,16.60081
170,HWLCX,Hotchkis & Wiley Large Cap Value Fund Class C,25.95,-1.56,-0.41,35.36,18.81,23.88147,29.4925
171,DSCYX,BNY Mellon Opportunistic Small Cap Fund Class Y,23.7,-1.9,-0.46,28.95,15.98,21.263235,24.509485
172,SMMCX,Western Asset Managed Municipals Fund Class C,15.75,0.19,0.03,16.91,14.51,15.523529,16.127132
173,VASGX,Vanguard LifeStrategy Growth Fund Investor Shares,33.77,-0.06,-0.02,37.12,26.53,32.112354,33.95772
174,SEAIX,SEI Asset Allocation Trust Aggressive Strategy Fund Class I,13.54,0.07,0.01,15.51,10.84,12.856765,14.032574
175,FSBKX,Federated Global Allocation Fund Class R Shares,18.78,0.21,0.04,20.26,15.05,17.85,18.77353
176,TSSCX,Thornburg Strategic Municipal Income Fund Class C,15.0,0.0,0.0,15.71,14.08,14.860883,15.185441
177,GILDX,Guggenheim Limited Duration Fund A-Class,24.97,0.16,0.040002,25.07,23.94,24.677353,24.639265
178,TMMAX,SEI Institutional Managed Trust Tax-Managed Volatility Fund Class F,16.04,0.63,0.099999,18.59,12.38,15.443824,16.749044
179,PARJX,T. Rowe Price Retirement 2025 Fund Advisor Class,16.78,-0.06,-0.01,18.43,13.37,15.995295,16.89625
180,SGACX,Virtus SGA Global Growth C Class,21.67,0.6,0.13,22.72,16.03,20.355589,20.612133
181,FRAPX,Fidelity Advisor Simplicity RMD 2005 Fund Class I,58.31,0.07,0.04,58.47,57.12,58.31,58.31
182,GMXRX,Nationwide Mid Cap Market Index Fund Class R,12.98,-1.44,-0.189999,15.66,8.9,11.756471,13.4525
183,RRMVX,T. Rowe Price Mid-Cap Value Fund R Class,23.58,-1.01,-0.24,28.01,16.82,21.892647,24.453604
184,NLCGX,Nuveen Large Cap Growth Fund Class C,25.03,-0.6,-0.15,27.97,17.92,23.420588,24.895515
185,JVASX,JPMorgan Value Advantage Fund Class I,29.86,-1.22,-0.370001,37.83,22.14,27.987942,32.82169
186,FXAIX,Fidelity 500 Index Fund,105.33,-0.2,-0.21,117.71,77.93,99.54176,104.8011
187,BBHLX,BBH Partner Fund - International Equity Class Institutional,15.83,1.34,0.21,17.23,12.1,14.712059,15.641985
188,SWFCX,Touchstone International Equity Fund Class C,12.83,0.31,0.04,15.23,9.76,12.074411,13.417721
189,MYIMX,Victory Integrity Mid-Cap Value Fund Class Y,15.29,-1.61,-0.25,19.67,10.74,14.000588,16.702646
190,TWSIX,American Century Select Fund I Class,85.68,0.25,0.21,89.33,61.71,80.1797,80.42735
191,NWGSX,Nationwide WCM Focused Small Cap Fund Institutional Service Class,20.56,-2.33,-0.49,26.94,14.45,18.383823,22.623898
192,TRRMX,T. Rowe Price Retirement 2050 Fund,14.49,0.0,0.0,16.44,10.92,13.621765,14.695221
193,JTSIX,JPMorgan SmartRetirement 2050 Fund Class R5,18.81,-0.11,-0.02,22.5,14.45,17.80353,19.622942
194,FTRVX,Fidelity Advisor Managed Retirement 2020 Fund Class M,51.57,0.23,0.12,51.66,49.71,51.57,51.57
195,VGSCX,Virtus Duff & Phelps Global Real Estate Securities Fund Class C,26.52,0.87,0.23,34.39,19.92,25.170588,29.561544
196,VHGEX,Vanguard Global Equity Fund Investor Shares,29.02,0.07,0.02,33.48,21.88,27.349411,29.609339
197,DIAYX,Diamond Hill Long-Short Fund Class Y,23.33,-1.06,-0.25,28.61,18.73,22.093529,24.792427
198,CSXAX,Calvert US Large Cap Core Responsible Index Fund Class A,26.02,-0.23,-0.06,28.43,19.09,24.49353,25.371176
199,PACLX,T. Rowe Price Capital Appreciation Fund Advisor Class,30.81,-0.1,-0.03,32.26,23.58,29.362352,30.12456
200,HSSIX,Emerald Banking and Finance Fund Institutional Class,25.04,-2.3,-0.590001,36.47,18.66,22.33853,29.902279
201,MMERX,Victory Integrity Discovery Fund Class R,21.78,-4.22,-0.96,32.39,15.78,19.601177,26.071102
202,VWNDX,Vanguard Windsor Fund Investor Share,18.13,-1.04,-0.19,23.19,13.09,16.752647,19.302574
203,TRLHX,TIAA-CREF Large Cap Value Fund Advisor Class,15.56,-0.89,-0.140001,18.7,11.49,14.657353,16.473898
204,LOGBX,Scharf Multi-Asset Opportunity Fund Retail Class,31.91,0.38,0.120001,35.24,26.73,30.826765,32.241764
205,SIPIX,SEI Institutional Managed Trust Mid-Cap Portfolio Fund Class I,21.91,-0.99,-0.22,26.62,15.38,20.103529,23.109707
206,SGOIX,First Eagle Overseas Fund Class I,22.39,0.4,0.09,25.83,18.51,21.576765,23.004633
207,VBAIX,Vanguard Balanced Index Fund Institutional Shares,38.5,-0.21,-0.08,40.8,31.51,36.981472,37.91103
208,JMYAX,JPMorgan SmartRetirement Blend 2045 Fund Class R6,22.43,-0.04,-0.01,25.74,17.33,21.192059,23.069118
209,SISAX,SEI Asset Allocation Trust Tax-Managed Aggressive Strategy Fund Class F,20.27,-0.2,-0.040001,23.22,15.22,19.009706,20.803677
210,VSNGX,JPMorgan Mid Cap Equity Fund Class I,46.85,-0.7,-0.33,53.28,32.86,43.33,46.63875
211,NEFOX,Natixis Funds Trust II Oakmark Fund Class A,19.25,-1.53,-0.3,23.62,13.61,17.688824,20.152868
212,GIFAX,Guggenheim Floating Rate Strategies Fund Class A,22.97,0.53,0.120002,25.45,20.46,22.436766,24.004486
213,IEMFX,T. Rowe Price Institutional Emerging Markets Equity Fund,35.32,-0.54,-0.19,44.09,29.8,34.52,38.38544
214,NNTWX,Nicholas II Fund Class N,25.85,-0.23,-0.06,30.81,18.31,23.8,26.197573
215,BVDIX,William Blair Small Cap Value Fund Class I,10.98,-2.05,-0.229999,18.44,8.02,10.024706,14.400735
216,CSERX,Columbia Select Large Cap Value Fund Advisor Class,22.76,-0.91,-0.21,28.47,16.23,21.549412,24.381323
217,RYBMX,Rydex Basic Materials Fund Class A,49.8,-0.56,-0.279998,57.27,33.41,45.44912,49.639557
218,RPMGX,T. Rowe Price Mid-Cap Growth Fund,91.08,0.2,0.18,99.04,63.43,83.58265,89.038826
219,GRISX,Nationwide S&P 500 Index Fund Institutional Service Class,15.16,-0.2,-0.03,16.91,11.16,14.328823,15.2002945
220,SLVIX,Columbia Select Large Cap Value Fund Institutional 2 Class,22.44,-0.93,-0.21,28.11,16.0,21.249706,24.045221
221,CGMRX,CGM Realty Fund,20.28,-2.92,-0.610001,28.41,13.44,18.522058,22.396986
222,RRTFX,T. Rowe Price Retirement 2050 Fund Class R,14.2,0.0,0.0,16.08,10.71,13.354412,14.409853
223,VTRIX,Vanguard International Value Fund Investor Shares,30.95,0.62,0.19,38.5,24.25,29.158236,33.387207
224,JPYRX,JPMorgan SmartRetirement Blend 2035 Fund Class R6,22.09,-0.05,-0.01,24.75,17.72,21.02647,22.547354
225,TRRHX,T. Rowe Price Retirement 2025 Fund,16.89,0.0,0.0,18.57,13.45,16.093529,17.000662
226,FAAIX,Fidelity Advisor Asset Manager 70% Fund I Class,21.72,0.05,0.01,23.93,17.09,20.613823,21.734632
227,DSMGX,Touchstone International Growth Opportunities Fund Institutional Class,21.29,0.61,0.129998,23.74,16.23,20.047058,21.245735
228,HNGIX,Harbor Global Leaders Fund Retirement Class,30.11,0.53,0.16,32.97,21.98,28.025589,29.622868
